Designator,Mid X,Mid Y,Rotation,Layer
C107,115.32,-85.6,90,T
C108,105.82,-62.375,270,T
C109,112.32,-85.85,90,T
C110,108.32,-62.3,270,T
C201,104.57,-85.35,180,T
C202,89.845,-58.85,180,T
C203,93.07,-61.6,180,T
C301,60.07,-65.1,180,T
C302,63.07,-54.1,180,T
C304,73.07,-54.1,270,T
C305,97.82,-69.6,180,T
C306,101.07,-76.1,180,T
D201,84.82,-55.6,270,T
D303,100.32,-79.35,180,T
J103,109.57,-55.225,270,T
J104,119.82,-85.6,180,T
L301,94.57,-80.35,0,T
Q301,80.57,-82.1,270,T
R202,104.4825,-87.6,180,T
R203,108.32,-84.6875,270,T
R204,116.32,-78.6,0,T
R205,106.07,-71.85,0,T
R206,106.07,-74.1,0,T
R207,91.07,-55.6,90,T
R208,88.82,-55.5125,270,T
R209,111.6575,-63.6,0,T
R210,94.2325,-57.35,180,T
R211,111.7325,-61.1,0,T
R301,78.57,-76.1,0,T
R302,67.07,-63.1,0,T
R303,84.07,-74.85,90,T
R304,67.07,-59.1,270,T
R305,103.32,-71.4375,270,T
R306,97.82,-71.85,180,T
e,104.6575,-83.1,0,T
e,87.57,-82.1,270,T
e,91.07,-78.375,90,T
e,94.67,-77.65,180,T
